Company,Model,Fuel,SeatsBand,EngineBand,peer_id,hp,tq,vmax,acc_sec,cc,price,log_price,z_hp,z_tq,z_vmax,z_acc,z_eff,z_price,perf,price_index,VFM_ratio,VFM_diff,price_pred,price_resid,overpriced_pct
Mazda,Tribute,Petrol,4–5,mid,Petrol | 4–5 | mid,200,270,190,9,3000,27000,10.20359214,-0.006666666667,-0.1451027811,-0.3333333333,-0.4881889764,-1.111111111,-0.2451124978,-0.2512139071,0.7826164906,-0.3209923507,-0.006101409222,10.15291285,0.05067929714,5.198546443
Mitsubishi,Toppo BJ,Petrol,4–5,small,Petrol | 4–5 | small,52,60,130,15,700,11000,9.305650552,-0.8846153846,-0.7468879668,-1.25,-0.9595375723,1.25,-0.5892334937,-0.8384004924,0.554752343,-1.511305906,-0.2491669987,9.25383738,0.05181317222,5.317896104
Mitsubishi,eK Space,Petrol,4–5,small,Petrol | 4–5 | small,52,60,130,15,700,11000,9.305650552,-0.8846153846,-0.7468879668,-1.25,-0.9595375723,1.25,-0.5892334937,-0.8384004924,0.554752343,-1.511305906,-0.2491669987,9.25383738,0.05181317222,5.317896104
Chevrolet,Silverado Custom,Petrol,6–7,large,Petrol | 6–7 | large,285,413,180,8.5,4300,33900,10.43117029,-0.2293577982,-0.19,-1.25,-1.875,0,-1.01373106,-0.7432752294,0.3628625886,-2.048365559,0.2704558307,10.37922249,0.05194780392,5.332076186
BMW,118D SPORT LINE,Diesel,4–5,mid,Diesel | 4–5 | mid,150,380,216,8.4,1995,36000,10.49127422,-0.2265372168,0.2068965517,0.72,0.2377622378,0.009900990099,0.2611404011,0.1541387815,1.298409951,0.1187134937,-0.1070016196,10.43874998,0.05252423913,5.392810806
Volkswagen,Beetle Dune,Petrol,4–5,small,Petrol | 4–5 | small,150,250,200,7.5,1400,30000,10.30895266,1,0.8298755187,0.5,0.774566474,-0.5,0.7250476227,0.7458883985,2.06482943,0.3612348737,0.02084077581,10.25524975,0.05370291525,5.517108035
BMW,120D EFFICIENTDYNAMICS,Diesel,4–5,mid,Diesel | 4–5 | mid,163,400,225,7.7,1995,39000,10.57131693,-0.05825242718,0.3448275862,0.9,0.4335664336,0.009900990099,0.4511086439,0.3157855039,1.570051849,0.2011306213,-0.13532314,10.51718072,0.05413620043,5.56283694
Kia,Seltos EX,Petrol,4–5,mid,Petrol | 4–5 | mid,146,179,190,9,2000,23500,10.0647557,-0.3666666667,-0.5852478839,-0.3333333333,-0.4881889764,0,-0.4454111483,-0.4096873721,0.6405608564,-0.639576034,0.03572377626,10.01057035,0.05418534774,5.568025197
Mazda,1200,Petrol,4–5,small,Petrol | 4–5 | small,60,90,130,16,1200,11000,9.305650552,-0.7307692308,-0.4979253112,-1.25,-1.190751445,0,-0.5892334937,-0.843504582,0.554752343,-1.52050657,-0.2542710883,9.250611138,0.05503941364,5.658225761
Nissan,Cedric,Petrol,4–5,mid,Petrol | 4–5 | mid,150,190,190,10.5,2000,22000,9.998797732,-0.34,-0.5320435308,-0.3333333333,-0.9606299213,0,-0.5405683814,-0.4842013571,0.5824171232,-0.8313652497,0.05636702428,9.943641125,0.05515660734,5.670608965
Volkswagen,Passat CC,Petrol,4–5,mid,Petrol | 4–5 | mid,240,280,240,7.3,2000,40000,10.59663473,0.26,-0.09673518742,0.5,0.04724409449,0,0.3219280949,0.1811017814,1.379785559,0.1312535707,-0.1408263135,10.54122324,0.05541148942,5.697545942
Jeep,Gladiator,Petrol,4–5,large,Petrol | 4–5 | large,285,353,177,8.1,3600,38775,10.56553099,-0.8819047619,-0.6984126984,-0.954248366,-1.272727273,0.1418817061,-0.5897146828,-0.8866502488,0.5544854664,-1.599050476,-0.2969355659,10.5091039,0.05642708755,5.804946701
Peugeot,3008 GT,Petrol,4–5,mid,Petrol | 4–5 | mid,200,280,220,7.5,1598,35000,10.46310334,-0.006666666667,-0.09673518742,0.1666666667,-0.0157480315,0.4466666667,0.1292830169,0.03083668955,1.138012155,0.02709697731,-0.0984463274,10.40625359,0.05684974712,5.849675626
Volkswagen,Passat B8,Petrol,4–5,mid,Petrol | 4–5 | mid,150,250,210,8.7,1500,28000,10.23995979,-0.34,-0.2418379686,0,-0.3937007874,0.5555555556,-0.1926450779,-0.2183299734,0.8247746529,-0.2647146983,-0.02568489547,10.18244954,0.05751025404,5.919613164
Acura,TLX 2.4L,Petrol,4–5,mid,Petrol | 4–5 | mid,206,247,210,6,2400,35000,10.46310334,0.03333333333,-0.2563482467,0,0.4566929134,-0.4444444444,0.1292830169,0.02951337779,1.138012155,0.02593414987,-0.09976963916,10.40506498,0.05803835934,5.975564646
Chevrolet,Silverado 2500HD LTZ,Diesel,6–7,large,Diesel | 6–7 | large,445,1234,160,8.4,6600,56400,10.94022444,0.25,0.762925599,-0.75,0,-0.2839393939,0.5596529469,0.0758881501,1.750065029,0.04336304584,-0.4837647968,10.88174722,0.05847721999,6.022083358
Kia,Soul GT Designer Edition,Petrol,4–5,mid,Petrol | 4–5 | mid,147,179,190,9.5,2000,23000,10.04324949,-0.36,-0.5852478839,-0.3333333333,-0.6456692913,0,-0.4764380439,-0.4388501017,0.6209914011,-0.706692719,0.03758794223,9.984376089,0.05887340611,6.064096157
Chevrolet,Tahoe High Country,Petrol,6–7,large,Petrol | 6–7 | large,420,624,200,6.7,6200,76700,11.24765699,1.009174312,0.865,-0.25,0.375,-0.95,0.6966777894,0.5037110092,2.007073698,0.2509678692,-0.1929667802,11.18875912,0.05889786508,6.066690408
GMC,Yukon XL SLT,Petrol,8+,large,Petrol | 8+ | large,355,519,210,7.3,5300,65000,11.08214255,0,0,0.2,0,0,0.03942006728,0.04,1.040207349,0.03845387176,0.0005799327179,11.02315161,0.05899093796,6.0765628
Volkswagen,T-Cross,Petrol,4–5,mid,Petrol | 4–5 | mid,150,250,200,10.2,1500,25000,10.1266311,-0.34,-0.2418379686,-0.1666666667,-0.8661417323,0.5555555556,-0.3561438102,-0.3461514957,0.7003718924,-0.4942395597,0.009992314501,10.06763893,0.05899217415,6.076693931
Volkswagen,Passat Variant,Petrol,4–5,mid,Petrol | 4–5 | mid,150,280,220,8.5,1500,30000,10.30895266,-0.34,-0.09673518742,0.1666666667,-0.3307086614,0.5555555556,-0.09310940439,-0.1433776587,0.9110938172,-0.15736871,-0.05026825427,10.24977247,0.05918018587,6.096639467
AUDI,Q7,Petrol,6–7,mid,Petrol | 6–7 | mid,335,587.79,243.4,6.3,2995,58846.65,10.98269019,1.735211268,2.301109244,2.157575758,1.174311927,-1.096,1.603762138,1.679123329,4.971701512,0.3377361503,0.07536119118,10.92275109,0.05993909487,6.177187722
GMC,Yukon Denali Ultimate Black,Petrol,8+,large,Petrol | 8+ | large,420,624,210,6,6200,90000,11.40756495,1.444444444,1.016949153,0.2,1.3,-0.6666666667,0.8636923755,0.9756120527,2.371902499,0.4113204708,0.1119196773,11.34760022,0.0599647269,6.179909294
Peugeot,e-208,Electric,4–5,EV,Electric | 4–5 | EV,136,260,150,8.1,50,35000,10.46310334,-0.812749004,-0.5367231638,-0.7142857143,-1.01754386,0,-0.6717317221,-0.7381726989,0.5108232076,-1.445064923,-0.06644097686,10.40308353,0.06001981106,6.185758286
Volkswagen,Arteon,Petrol,4–5,mid,Petrol | 4–5 | mid,215,350,250,5.6,2000,46000,10.73639668,0.09333333333,0.2418379686,0.6666666667,0.5826771654,0,0.5235619561,0.3309030268,1.688029641,0.1960291565,-0.1926589293,10.67577626,0.06062041317,6.249552832
Ford,Explorer,Petrol,6–7,mid,Petrol | 6–7 | mid,400,500,200,6,3000,55000,10.91508846,2.467605634,1.71092437,0.404040404,1.28440367,-1.106,1.421147974,1.488235661,4.141872474,0.3593146988,0.06708768654,10.85393646,0.06115200469,6.306049208
Jaguar Land Rover,Jaguar XE R-Sport AWD,Petrol,4–5,mid,Petrol | 4–5 | mid,300,400,250,5.5,2995,55000,10.91508846,0.66,0.4836759371,0.6666666667,0.6141732283,-1.105555556,0.7813597135,0.5286253886,2.18444046,0.2419957871,-0.2527343249,10.85337252,0.06171594379,6.366016253
Kia,Sorento LX,Petrol,6–7,mid,Petrol | 6–7 | mid,191,246,210,8.5,2500,35500,10.47728798,0.1126760563,0.003361344538,0.8080808081,0.3669724771,-0.106,0.2385069501,0.2698195457,1.269352528,0.212564705,0.03131259557,10.41469983,0.06258814913,6.458829731
Kia,Seltos SX Turbo,Petrol,4–5,mid,Petrol | 4–5 | mid,175,264,210,7.5,1600,32000,10.37349118,-0.1733333333,-0.1741233374,0,-0.0157480315,0.4444444444,0,-0.07641871822,1,-0.07641871822,-0.07641871822,10.30991568,0.06357549832,6.563993679
Volkswagen,Polo BlueMotion,Diesel,4–5,small,Diesel | 4–5 | small,85,250,190,10.5,1200,22000,9.998797732,0.4,0.8461538462,0.6666666667,0.3777777778,0.6756756757,0.08415807066,0.5519034419,1.08780083,0.5073570702,0.4677453712,9.933391529,0.06540620376,6.759259645
KIA,SPORTAGE GT-LINE,Petrol,4–5,mid,Petrol | 4–5 | mid,187,350,200,8,2480,32000,10.37349118,-0.09333333333,0.2418379686,-0.1666666667,-0.1732283465,-0.5333333333,0,-0.07894474225,1,-0.07894474225,-0.07894474225,10.30764678,0.06584439908,6.806051303
Chevrolet,Suburban High Country,Petrol,8+,large,Petrol | 8+ | large,420,624,200,7,6200,82400,11.31934072,1.444444444,1.016949153,-0.1636363636,0.3,-0.6666666667,0.6402265279,0.70288478,1.896910534,0.3705418719,0.06265825205,11.25302471,0.06631600125,6.856433148
Kia,Niro EX,Hybrid,4–5,mid,Hybrid | 4–5 | mid,139,265,180,10.5,1600,30000,10.30895266,-0.6666666667,-0.3725490196,-0.3225806452,-1.5,0.22172949,-0.6115094281,-0.6612727918,0.5425313387,-1.218865611,-0.0497633637,10.24242814,0.06652451747,6.878716771
Nissan,Mistral,Diesel,6–7,mid,Diesel | 6–7 | mid,125,260,160,12.5,2700,25000,10.1266311,-0.6243386243,-0.6428571429,-0.8080808081,-0.75,-1.25,-0.5257528973,-0.7212061087,0.5911101516,-1.220087503,-0.1954532114,10.05895268,0.06767842746,7.002116372
